# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       51.773     2184.926
       1.001        6.000       51.773     2192.930
       2.002       22.000       52.027     2192.930
       3.004       20.000       52.027     2192.930
       4.005       21.000       52.027     2192.930
       5.006       19.000       52.285     2192.930
       6.006       21.000       52.543     2192.930
       7.008       22.000       52.543     2192.930
       8.009       21.000       52.543     2192.930
       9.010       21.000       52.543     2192.930
      10.011       20.000       52.543     2192.930
      11.012       20.000       52.543     2192.930
      12.013       20.000       52.543     2192.930
      13.014       23.000       52.543     2192.930
      14.015       21.000       52.543     2192.930
      15.016       22.000       52.543     2192.930
      16.017       21.000       52.543     2192.930
      17.020       20.900       52.543     2192.930
      18.021       21.000       52.543     2192.930
      19.022       22.000       52.543     2192.930
      20.022       21.000       52.543     2192.930
      21.024       22.000       52.543     2192.930
      22.025       22.000       52.543     2192.930
      23.026       22.000       52.543     2192.930
      24.027       21.000       52.543     2192.930
      25.028       22.000       52.543     2192.930
      26.029       22.000       52.543     2192.930
      27.030       22.000       52.543     2192.930
      28.031       21.000       52.543     2192.930
      29.032       22.000       52.543     2192.930
      30.033       22.000       52.543     2192.930
      31.034       22.000       52.543     2192.930
      32.035       22.000       52.543     2192.930
      33.036       21.000       52.543     2192.930
      34.037       22.000       52.543     2192.930
      35.038       21.000       52.543     2192.930
      36.039       21.000       52.543     2192.930
      37.040       22.000       52.543     2192.930
      38.041       22.000       52.543     2192.930
      39.041       22.000       52.543     2192.930
      40.042       22.000       52.543     2192.930
      41.043       21.000       52.543     2192.930
      42.043       21.000       52.543     2192.930
      43.044       23.000       52.543     2192.930
      44.045       21.000       52.543     2192.930
      45.046       22.000       52.543     2192.930
      46.047       22.000       52.543     2192.930
      47.049       22.000       52.543     2192.930
      48.050       22.000       52.543     2192.930
      49.051       21.000       52.543     2192.930
      50.052       22.000       52.543     2192.930
      51.053       22.000       52.543     2192.930
      52.055       22.000       52.543     2192.930
      53.056       22.000       52.543     2192.930
      54.057       21.000       52.543     2192.930
      55.058       23.000       52.543     2192.930
      56.059       21.000       52.543     2192.930
      57.060       22.000       52.543     2192.930
      58.061       22.000       52.543     2192.930
      59.062       22.000       52.543     2192.930
      60.062       22.000       52.543     2192.930
