# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       52.590     2193.031
       1.001        6.000       52.590     2193.031
       2.002       22.000       52.590     2193.031
       3.004       20.000       52.590     2193.031
       4.005       21.000       52.590     2193.031
       5.006       20.000       52.590     2193.031
       6.007       21.000       52.590     2193.031
       7.009       21.000       52.590     2193.031
       8.010       20.000       52.590     2193.031
       9.011       22.000       52.590     2193.031
      10.012       21.000       52.590     2193.031
      11.013       20.000       52.590     2193.031
      12.014       21.000       52.590     2193.031
      13.015       22.000       52.590     2193.031
      14.016       20.000       52.590     2193.031
      15.018       21.000       52.590     2193.031
      16.019       22.000       52.590     2193.031
      17.020       20.000       52.590     2193.031
      18.021       20.000       52.590     2193.031
      19.022       22.000       52.590     2193.031
      20.023       21.000       52.590     2193.031
      21.023       21.000       52.590     2193.031
      22.025       21.000       52.590     2193.031
      23.026       20.000       52.590     2193.031
      24.027       21.000       52.590     2193.031
      25.028       21.000       52.590     2193.031
      26.029       21.000       52.590     2193.031
      27.030       21.000       52.590     2193.031
      28.031       21.000       52.590     2193.031
      29.032       22.000       52.590     2193.031
      30.033       20.000       52.590     2193.031
      31.034       21.000       52.590     2193.031
      32.035       20.000       52.590     2193.031
      33.036       22.000       52.590     2193.031
      34.037       21.000       52.590     2193.031
      35.039       22.000       52.590     2193.031
      36.041       19.000       52.590     2193.031
      37.042       21.000       52.590     2193.031
      38.043       21.000       52.590     2193.031
      39.044       20.000       52.590     2193.031
      40.045       22.000       52.590     2193.031
      41.046       20.000       52.590     2193.031
      42.047       22.000       52.590     2193.031
      43.048       20.000       52.590     2193.031
      44.049       21.000       52.590     2193.031
      45.050       22.000       52.590     2193.031
      46.051       20.000       52.590     2193.031
      47.052       21.000       52.590     2193.031
      48.053       20.000       52.590     2193.031
      49.054       21.000       52.590     2193.031
      50.055       22.000       52.590     2193.031
      51.056       20.000       52.590     2193.031
      52.058       21.000       52.590     2193.031
      53.059       21.000       52.590     2193.031
      54.060       20.000       52.590     2193.031
      55.061       21.000       52.590     2193.031
      56.062       21.000       52.590     2193.031
      57.064       21.000       52.590     2193.031
      58.065       21.000       52.590     2193.031
      59.066       21.000       52.590     2193.031
      60.067       21.000       52.590     2193.031
