# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       52.691     2197.422
       1.001        6.000       52.691     2197.422
       2.002       14.000       52.691     2197.422
       3.002       15.000       52.691     2197.422
       4.004       15.000       52.691     2197.422
       5.005       16.000       52.691     2197.422
       6.006       16.000       52.691     2197.422
       7.007       16.000       52.691     2197.422
       8.008       15.000       52.691     2197.422
       9.009       15.000       52.691     2197.422
      10.010       16.000       52.691     2197.422
      11.011       16.000       52.691     2197.422
      12.012       17.000       52.691     2197.422
      13.013       15.000       52.691     2197.422
      14.014       15.000       52.691     2197.422
      15.015       16.000       52.691     2197.422
      16.015       16.000       52.691     2197.422
      17.016       15.000       52.691     2197.422
      18.018       17.000       52.691     2197.422
      19.019       15.000       52.691     2197.422
      20.020       15.000       52.691     2197.422
      21.020       14.000       52.691     2197.422
      22.022       16.000       52.691     2197.422
      23.023       15.000       52.691     2197.422
      24.024       15.000       52.691     2197.422
      25.025       15.000       52.691     2197.422
      26.026       15.000       52.691     2197.422
      27.027       16.000       52.691     2197.422
      28.028       16.000       52.691     2197.422
      29.029       15.000       52.691     2197.422
      30.030       15.000       52.691     2197.422
      31.031       15.000       52.691     2197.422
      32.032       15.000       52.691     2197.422
      33.032       15.000       52.691     2197.422
      34.034       16.000       52.691     2197.422
      35.035       15.000       52.691     2197.422
      36.036       15.000       52.691     2197.422
      37.037       15.000       52.691     2197.422
      38.038       16.000       52.691     2197.422
      39.039       15.000       52.691     2197.422
      40.040       16.000       52.691     2197.422
      41.041       14.000       52.691     2197.422
      42.042       15.000       52.691     2197.422
      43.043       15.000       52.691     2197.422
      44.044       15.000       52.691     2197.422
      45.045       15.000       52.691     2197.422
      46.046       15.000       52.691     2197.422
      47.047       15.000       52.691     2197.422
      48.048       15.000       52.691     2197.422
      49.049       15.000       52.691     2197.422
      50.050       16.000       52.691     2197.422
      51.050       15.000       52.691     2197.422
      52.052       12.000       52.691     2197.422
      53.053       15.000       52.691     2197.422
      54.054       16.000       52.691     2197.422
      55.055       15.000       52.691     2197.422
      56.056       14.000       52.691     2197.422
      57.057       16.000       52.691     2197.422
      58.058       15.000       52.691     2197.422
      59.058       16.000       52.691     2197.422
      60.059       15.000       52.691     2197.422
